rank,cbsa,name,year,population,cumulative_population,cumulative_share_of_us
371,38540,"Pocatello, ID",2024,91010.0,292661087.0,0.86049
372,25980,"Hinesville, GA",2024,89046.0,292750133.0,0.86075
373,24420,"Grants Pass, OR",2024,88276.0,292838409.0,0.86101
374,37620,"Parkersburg-Vienna, WV",2024,87681.0,292926090.0,0.86127
375,18020,"Columbus, IN",2024,84741.0,293010831.0,0.86152
376,24500,"Great Falls, MT",2024,84523.0,293095354.0,0.86176
377,29020,"Kokomo, IN",2024,84082.0,293179436.0,0.86201
378,33220,"Midland, MI",2024,84022.0,293263458.0,0.86226
379,21300,"Elmira, NY",2024,81115.0,293344573.0,0.8625
380,16220,"Casper, WY",2024,80410.0,293424983.0,0.86273
381,24260,"Grand Island, NE",2024,77278.0,293502261.0,0.86296
382,33500,"Minot, ND",2024,75938.0,293578199.0,0.86318
383,30300,"Lewiston, ID-WA",2024,65370.0,293643569.0,0.86338
384,47460,"Walla Walla, WA",2024,62068.0,293705637.0,0.86356
385,21420,"Enid, OK",2024,62007.0,293767644.0,0.86374
386,20580,"Eagle Pass, TX",2024,58829.0,293826473.0,0.86391
387,16180,"Carson City, NV",2024,58148.0,293884621.0,0.86408
